CountyRef,Longitude,Latitude,Mean_SO2
"Jefferson, Alabama, USA",-86.815,33.553056,4.098606
"Jefferson, Alabama, USA",-86.915,33.485556,1.840171
"Jefferson, Alabama, USA",-86.796389,33.565278,8.26326
"Gila, Arizona, USA",-110.867267,33.3855,13.783425
"Gila, Arizona, USA",-110.87445,33.397433,9.05589
"Gila, Arizona, USA",-110.785797,33.006179,26.819726
"Maricopa, Arizona, USA",-112.095767,33.503833,1.355801
"Pima, Arizona, USA",-110.9823,32.29515,0.245531
"Pulaski, Arkansas, USA",-92.281296,34.756189,1.936538
"Alameda, California, USA",-122.282347,37.814781,1.312857
"Contra Costa, California, USA",-122.026154,37.936013,1.370278
"Contra Costa, California, USA",-122.364852,37.948172,2.396601
"Contra Costa, California, USA",-122.233229,38.05492,2.572527
"Contra Costa, California, USA",-121.641918,38.006311,1.270455
"Contra Costa, California, USA",-122.356811,37.9604,1.587288
"Contra Costa, California, USA",-122.134467,38.012816,2.76338
"Inyo, California, USA",-118.330783,37.360684,0.132782
"Los Angeles, California, USA",-118.22688,34.06659,0.709418
"Los Angeles, California, USA",-118.22,33.8025,1.972861
"Riverside, California, USA",-117.41601,33.99958,0.664903
"Sacramento, California, USA",-121.368014,38.613779,0.772222
"San Bernardino, California, USA",-117.49201,34.10002,0.751156
"San Luis Obispo, California, USA",-120.56388,35.02083,0.173077
"Santa Barbara, California, USA",-120.02551,34.46245,0.025316
"Santa Barbara, California, USA",-119.879511,34.414942,0
"Santa Barbara, California, USA",-120.04692,34.48974,0.054545
"Santa Barbara, California, USA",-120.4575,34.63782,1.53719
"Santa Clara, California, USA",-121.894898,37.348497,0.547839
"Solano, California, USA",-122.237976,38.102507,1.007799
"Adams, Colorado, USA",-104.94984,39.838119,2.124478
"Denver, Colorado, USA",-104.987625,39.751184,1.747238
"Denver, Colorado, USA",-105.00518,39.77949,1.816374
"El Paso, Colorado, USA",-104.839243,38.830895,2.851906
"Fairfield, Connecticut, USA",-73.194722,41.170833,0.549025
"Litchfield, Connecticut, USA",-73.297257,41.821342,0.273389
"New Haven, Connecticut, USA",-72.902871,41.3014,0.455866
"New Castle, Delaware, USA",-75.732,39.5513,0.63324
"New Castle, Delaware, USA",-75.6036,39.57768,0.993878
"New Castle, Delaware, USA",-75.496389,39.773889,0.853517
"New Castle, Delaware, USA",-75.558056,39.739444,1.718659
"Sussex, Delaware, USA",-75.16323,38.7791,0.293732
"District of Columbia, District Of Columbia, USA",-76.958072,38.895572,0.839888
"District of Columbia, District Of Columbia, USA",-77.013178,38.921847,1.625429
"Broward, Florida, USA",-80.256944,26.053889,0.959249
"Citrus, Florida, USA",-82.642965,28.958644,2.606094
"Duval, Florida, USA",-81.635396,30.356339,2.726554
"Duval, Florida, USA",-81.620951,30.422448,1.499133
"Escambia, Florida, USA",-87.20355,30.525367,1.706145
"Hillsborough, Florida, USA",-82.454539,27.928356,2.55289
"Hillsborough, Florida, USA",-82.2304,27.96565,1.422636
"Manatee, Florida, USA",-82.547648,27.638925,1.425698
"Nassau, Florida, USA",-81.463168,30.658552,5.747788
"Orange, Florida, USA",-81.3625,28.596389,0.677971
"Pinellas, Florida, USA",-82.623153,27.863635,1.907955
"Pinellas, Florida, USA",-82.739722,28.141667,1.006925
"Polk, Florida, USA",-82.000084,27.939746,3.506128
"Putnam, Florida, USA",-81.656509,29.687748,1.710435
"Wakulla, Florida, USA",-84.161111,30.0925,0.670656
"Ada, Idaho, USA",-116.347853,43.600699,0.756389
"Bannock, Idaho, USA",-112.515833,42.916389,12.858082
"Caribou, Idaho, USA",-111.594669,42.695198,7.148788
"Champaign, Illinois, USA",-88.37251,40.05278,0.908841
"Cook, Illinois, USA",-87.713488,41.7514,2.578022
"Cook, Illinois, USA",-87.99057,41.66812,1.557423
"Cook, Illinois, USA",-87.799227,42.139996,1.480781
"La Salle, Illinois, USA",-89.049425,41.293015,1.523582
"Macon, Illinois, USA",-88.925594,39.866834,4.02536
"Macoupin, Illinois, USA",-89.809739,39.396075,1.052646
"Madison, Illinois, USA",-90.105851,38.860669,2.272702
"Saint Clair, Illinois, USA",-90.160477,38.612034,1.977008
"Tazewell, Illinois, USA",-89.654028,40.55646,2.913295
"Daviess, Indiana, USA",-87.214613,38.573253,2.227714
"Clinton, Iowa, USA",-90.211982,41.823283,2.318697
"Linn, Iowa, USA",-91.68766,41.97677,0.922753
"Linn, Iowa, USA",-91.639535,41.948708,3.110585
"Muscatine, Iowa, USA",-91.070975,41.419429,1.555495
"Muscatine, Iowa, USA",-91.068449,41.401459,2.008767
"Muscatine, Iowa, USA",-91.0616,41.4069,2.476712
"Scott, Iowa, USA",-90.587611,41.530011,0.957967
"Van Buren, Iowa, USA",-92.006318,40.695078,0.317729
"Neosho, Kansas, USA",-95.47594,37.67696,1.281918
"Sumner, Kansas, USA",-97.366399,37.47689,1.507407
"Trego, Kansas, USA",-99.763424,38.770081,0.990769
"Wyandotte, Kansas, USA",-94.635605,39.117219,1.42551
"Boyd, Kentucky, USA",-82.64041,38.45934,0.386111
